Problem,Specialist
"আমার কাশির সাথে যে কফ বের হয়, তাতে গোলাপি রঙের ছোপ দেখা যায়।",Cardiologist
আমার হার্টবিট মাঝে মাঝে অনিয়মিত হয়ে যায়।,Cardiologist
আমার বাচ্চার গায়ে লাল লাল র‍্যাশ উঠেছে।,Skin
আমি সোফা সরাতে গিয়ে পিঠে চোট পেয়েছি।,Orthopedic
আমার মায়ের রাতে ঠিকমত ঘুম হয় না। ঘুম অনেক পাতলা,Medicine
আমার পায়ের পাতায় অবশ ভাব।,Orthopedic
আমার প্রায় কয়েক দিন যাবত কানে চাপ দিলে হলদেটে তরল বের হয় সাথে সাথে কানে কিছু আটকে আছে বলে মনে হয়।,ENT
আমার ছেলের অনেক মাথা ব্যথা করে,Medicine
"আমার সপ্তাহের শুরুতে থেকে নিচের বাম দিকের ক্যানাইন দাঁতে থেমে থেমে ব্যথা, যা কিছুক্ষণ পরপর আসে। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না।",Dentist
আমার শরীরের টিউমারটি বায়োপসি করতে হবে।,Surgery
চোখ খুলতে গেলে ব্যথা হয়।,Ophthalmologist
গর্ভাবস্থায় অনেকবার প্রস্রাবের বেগ আসে।,Gynecologist
আমার হৃদরোগের কারণে আমি আমার জীবনের ওপর নিয়ন্ত্রণ হারিয়ে ফেলেছি।,Cardiologist
বাচ্চা নেওয়ার জন্য কি কি পরীক্ষা করতে হবে?,Gynecologist
আমার পায়ের শিরায় রক্ত জমাট বেঁধেছে বলে মনে হচ্ছে।,Orthopedic
আমার বুকের ডানদিকে একটি ফোঁড়া হয়েছে।,Surgery
প্রেগন্যান্সির সময় বুক ধড়ফড় করে হঠাৎ।,Gynecologist
"প্রচণ্ড ভালোবাসি তাকে, ডিভোর্স দিলো, আমাকে আর চায়না সে, আমি এখন ডিভোর্সী, এটা অনেক বড় কষ্ট, কিন্তু এর থেকেও বেশি কষ্ট হচ্ছে তাকে হারানোর জন্য
আমি কীভাবে এই কষ্ট থেকে বের হবো?",Psychiatrist
"আমার হার্টবিট একটা-দুটো বাদ দিয়ে আবার চলতে শুরু করে, তখন খুব ভয় লাগে।",Cardiologist
আমার সমস্যা হলো কোন মানুষ দেখলে আমার মেজাজ খারাপ হয়ে জায় আবার ভয় ওলাগে কোন কাজ করতে গেলে ভয় লাগে,Psychiatrist
আমার বুকের নিচে ব্যথা হয় যখন হালকা দৌড় দেই।,Medicine
চোখে সামান্য আলোয়ও অস্বস্তি হয়।,Ophthalmologist
আমার অনেক বেশি গলা শুকায় যায় এবং ঘন ঘন জ্বর আসে,Medicine
আমার হাতের বুড়ো আঙুলের গোড়ায় ব্যথা।,Orthopedic
আমার পায়ে রাতে খিল ধরে।,Orthopedic
আমার গত এক মাস যাবত গিলতে গেলে গলায় যন্ত্রণা হয় এবং গলা ফুলে শক্ত হয়ে গেছে। যন্ত্রণায় ঘুমাতে পারছি না।,ENT
আমার প্রায়ই মাথা ঘোরে এবং চোখে ঝাপসা দেখি।,Cardiologist
"আমি প্রথমবার মা হতে যাচ্ছি, পরামর্শ চাই।",Gynecologist
আমার ছেলের হাতে-পায়ে চামড়া ওঠার সমস্যা আছে।,Skin
"আমার লম্বা সময় সময় ধরে মুখ শুকিয়ে যাওয়া, কারণ লালার অভাব বোধ করছি অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি। এর সঙ্গে সামনের দাঁতগুলোতে তীব্র যন্ত্রণা।",Dentist
আমার এক সপ্তাহ থেকে কানে অসহ্য যন্ত্রণা হচ্ছে সাথে সাথে কানে কিছু আটকে আছে বলে মনে হয়। খাবার খেতে কষ্ট হচ্ছে।,ENT
আমার দাঁতের গোড়া থেকে রক্ত বের হয়।,Medicine
আমার মেয়ে অতিরিক্ত চিন্তা করে আর ঠিকমত খাওয়া দাওয়া করছে না। অনেক দূর্বল হয়ে যাচ্ছে। ওর ওজন কমে যাচ্ছে।,Medicine
আমার মাথা ঘোরায় আর বমির ভাব হয় আর আমি বেশিক্ষন দাঁড়িয়ে থাকতে পারি না,Medicine
আমার মেয়ের মাজা এবং হাঁটুতে প্রায়ই ব্যথা করে।,Orthopedic
আমার আঙ্গুলের গিঁটে গিঁটে কালো দাগ।,Skin
আমার গোড়ালির জয়েন্ট মচকে গেছে এবং ফুলে গেছে।,Surgery
আমার কাঁধের হাড় ভেঙে গেছে।,Surgery
আমার দুই সপ্তাহ সময় ধরে কান দিয়ে সাদা পুঁজ বের হচ্ছে এবং কানে কিছু আটকে আছে বলে মনে হয়। খাবার খেতে কষ্ট হচ্ছে।,ENT
"আসসালমুআলাইকুম, এই গ্রুপে কি এমন কেউ আছেন যারা রেগুলার অ্যান্টি- ডিপ্রেসন ওষুধ খান।আমি প্রায় ১বছরের মতো খাচ্ছি। এখান থেকে বেরিয়ে আসতে চাই 🥹।আমাকে সাহায্য করুন🙏🙏 #helpme #adminapprove",Psychiatrist
আমার মাথার পেছনের দিকে চুলকানি বেশি হয়।,Skin
আমি প্রেগন্যান্সির সময় গন্ধ সহ্য করতে পারি না।,Gynecologist
আমার কোমরে হঠাৎ টান পড়ে যায়।,Surgery
আমার কনুই আর হাঁটুর চামড়া খুব কালো আর মোটা হয়ে গেছে।,Skin
আমার মায়ের দুটো হাঁটুতেই অস্টিওআর্থ্রাইটিস।,Orthopedic
আমার ছেলের রাতের বেলা জ্বর আসে।,Medicine
চোখ সবসময় ভারী ও ক্লান্ত মনে হয়।,Ophthalmologist
আমার চোখে ছানি অপারেশন করতে হবে।,Ophthalmologist
"আমার কিছুদিন সময় ধরে দাঁতের সংযোগস্থলে এ ছোট কালো দাগ, যা দিন দিন বাড়ছে। ব্যথানাশক ছাড়া চলছেই না পাশাপাশি চোয়ালে ব্যথা।",Dentist
আমার মা অতিরিক্ত চিন্তা করে আর ঠিকমত খাওয়া দাওয়া করছে না। অনেক দূর্বল হয়ে যাচ্ছে। ওর ওজন কমে যাচ্ছে।,Medicine
চোখে ধোঁয়া ধোঁয়া দেখি।,Ophthalmologist
বাবা কয়েকদিন ধরে বলছে তার অনেক বেশি তলপেট ব্যথা করছে ,Medicine
আমার মুখে জ্বালা হয় কিছু খাবার খেলেই।,Medicine
চোখের চারদিকে জ্বালাপোড়া করে।,Ophthalmologist
আজকাল মারা যেতে ইচ্ছা করে। কিন্তু সাহস পাইনা। এমন কোনো উপায় কি আছে যেন সবকিছু আগের মতো ঠিক হয়ে যায়? বড্ড হতাশ আমি। এসব ভেবে ভেবে অসুস্থ হয়ে পড়ছি। অপরাধবোধ কুরে কুরে খাচ্ছে।,Psychiatrist
চোখে কালচে ছোপ পড়ছে।,Ophthalmologist
আমার ফিস্টুলা হয়েছে।,Surgery
"আমার পরশু দিন থেকে দাঁতের সংযোগস্থলে এ গর্ত, যেখানে খাবার আটকে যায়। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না।",Dentist
"আমার পরশু দিন থেকে মাড়ি ফোলা, যা লালচে হয়ে আছে মুখে দুর্গন্ধ সৃষ্টি করছে।",Dentist
আমার দাদুর প্রচন্ড বুকে ব্যথা করে আর জোরে হাঁটতে গেলে বুক ধরফর করে,Cardiologist
আমার নাতনির ডান পা ভেঙে যাওয়ায় প্লাস্টার করা হয়েছে।,Orthopedic
"আমার গত কয়েক দিন যাবৎ মুখ শুকিয়ে যাওয়া, কারণ লালার অভাব বোধ করছি অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
আমার বুক অনেক জ্বালা পুড়া করে। মনে হয় কিছু অনেক ভাড়ি কিছু চাপ দিচ্ছে বুকে।,Cardiologist
চোখের পাতায় ত্বক উঠছে।,Ophthalmologist
চিংড়ি মাছ খেলে আমার সারা গায়ে অ্যালার্জি ওঠে।,Skin
আমার গলার স্বরযন্ত্রে পলিপ হয়েছে।,Surgery
আমার জিহ্বায় ঘা হয়েছে প্রায় অনেকদিন হল। এখনো ঠিক হচ্ছে না। ,Medicine
ওসিডি থেকে কিভাবে মুক্তি পাওয়া যায়?,Psychiatrist
"আমি কম কথা বলি, কারো সাথে মিশতে পারিনা, বন্ধুদের আড্ডাতেও একটু চুপ থাকি, বরাবর চাপা স্বভাবের, কারো চোখে চোখ রেখে কথা বলতে পারি না। এসব কারণে নিজেকে খুব অসহায় লাগে। কি করি?",Psychiatrist
আমার মেয়ের শরীর অনেক দুর্বল খাওয়া দাওয়া করছে না,Medicine
"মনে শান্তি পাইনা ,,প্রচুর টাকার চিন্তা, সফলতার অনিশ্চিয়তা, কিছুই পারবো না, পরিবার এর মাঝে ঝামেলা,, এইসব চিন্তা মাথায় আশে সবসময়😓মুক্তির উপায় আছে?",Psychiatrist
আমার প্রায় এক সপ্তাহ যাবত ডান কানে চিনচিন ব্যথা হচ্ছে । কাজে মনোযোগ দিতে পারছি না।,ENT
আমার নিয়মিত ব্যায়াম করার কথা বলা হয়েছে।,Cardiologist
আমার আব্বুর শরীরের জয়েন্টে জয়েন্টে অনেক ব্যথা করে। ,Medicine
গর্ভাবস্থায় হাঁটলে হাঁটুতে ব্যথা হয়।,Gynecologist
গর্ভাবস্থায় ঘুমের মধ্যে পায়ে ব্যথা হয়।,Gynecologist
আমার ছেলের অ্যাপেনডিসাইটিসের অপারেশন করা হয়েছিলো কিন্তু ওর পেট ব্যথা এখনো ঠিকমত কমে নাই,Medicine
আমার মায়ের হাতে বাদামী রঙের বয়সের দাগ দেখা যাচ্ছে।,Skin
আমার পায়ে প্রায়ই অবশ ভাব অনুভূত হয়।,Orthopedic
আমার চোখের প্রেসার বেড়েছে।,Ophthalmologist
আমার শরীরে তৃতীয় মাত্রার পোড়া ক্ষত আছে।,Surgery
আমার জরায়ুতে টিউমার হয়েছে।,Gynecologist
আমার পিঠের ব্যথাটা সকালে ঘুম থেকে ওঠার পর বাড়ে।,Orthopedic
চোখের মণিতে মাঝে মাঝে দাগ দেখি।,Ophthalmologist
আমার মেয়ের পায়ের হাড়ে জন্মগত ত্রুটি আছে।,Orthopedic
"আমার ডিপার্টমেন্টে কেউ আমার সাথে কথা বলতে চায় না। নিজে থেকে কথা বললে এড়িয়ে যায়। আমার খুব খারাপ লাগে। এতো হতাশ লাগে, বলে বুঝাতে পারবো না। কী করবো? কী কারণে কেউ কথা বলতে চায় না?",Psychiatrist
আমার নাক দিয়ে পানি পড়ে সবসময় সকালে।,Medicine
আমার সিজারিয়ান অপারেশনের সেলাইতে ব্যথা করছে।,Surgery
আমার হার্টবিট মাঝে মাঝে অনিয়মিত লাগে।,Cardiologist
"আমার প্রায় মাসখানেক ধরে মাড়ি থেকে পুঁজ, যা নোনা পানিতে জ্বালা করে মুখে দুর্গন্ধ সৃষ্টি করছে।",Dentist
আমার এক মাস থেকে নাক দিয়ে রক্ত পড়ছে এবং নাকের এক পাশ সবসময় বন্ধ থাকে।,ENT
আমার মুখে লোমকূপগুলো অনেক বড় আর স্পষ্ট দেখা যায়।,Skin
আমার কয়েক দিন ধরে নাক ঝাড়লে রক্ত বের হয়।,ENT
আমার শরীরের চামড়া জায়গায় জায়গায় সাদা হয়ে যাচ্ছে।,Skin
আমি সন্তান নেওয়ার পরে ইউরিন ইনফেকশন পেয়েছি।,Gynecologist
