text,label
"এটা কেন হচ্ছে? আমি তো সত্যিই কিছু ভালো চাইছিলাম! কিন্তু সবাই আমাকে অবহেলা করছে, মনে হচ্ছে আমার মতামত মূল্যহীন।",Normal statement
"নদীর পানিতে এত বিষ, এটা দেখে আমি রেগে গেছি!",Normal statement
আমার খুব ঘুম ঘুম লাগে কিন্তু ঠিকমত ঘুমও হয় না,patient statement
আমার কপালে গোটার মত বের হইসে,patient statement
আমারহঠাৎ করেই অনেক প্রেসার বেড়ে যায় আর অনেক বেশি পানির পিপাসা লাগে।,patient statement
আমার ছেলের অ্যাপেনডিসাইটিসের অপারেশন করা হয়েছিলো কিন্তু ওর পেট ব্যথা এখনো ঠিকমত কমে নাই,patient statement
আমার দাদুর প্রচন্ড বুকে ব্যথা করে আর জোরে হাঁটতে গেলে বুক ধরফর করে,patient statement
আমি ঠিকমত খাওয়া দাওয়া করি কিন্তু তারপরেও আমার অনেক দুর্বল লাগে। চোখ বন্ধ হয়ে আসে,patient statement
আমার মাঝে মাঝেই হজমে সমস্যা হয়। পেট ফুলে ফেপে থাকে আর অনেক ব্যথা করে। ,patient statement
"আজ একটি চিঠিতে এমন কিছু লেখা ছিল, যা পড়তে আমার খুব রাগ উঠেছে!",Normal statement
আমার দাদুর মুখে প্রায়ই ঘা এর মত হয় আর পুঁজ জমে আর রক্তও পরে,patient statement
"আজকের চিঠিটি একটি খুব সুন্দর সংবাদ নিয়ে এসেছে, এটা পড়ে আমি খুব খুশি!",Normal statement
"আজ স্কুলে একটি সফল বিজ্ঞান মেলা অনুষ্ঠিত হলো, খুব আনন্দিত ছিলাম!",Normal statement
আজ আমি খুবই খুশি। সবকিছু ঠিকঠাক চলছে।,Normal statement
আমার মেয়ের ১৬ বছর বয়স কিন্তু ওর এখনো পিরিয়ড হচ্ছে না। আর অনেক বেশি সাদা স্রাব হয়। সাথে দুর্গন্ধও হয় অনেক,patient statement
আমার মেয়ের প্রস্রাব করার সময় অনেক জ্বালাপুড়া করে আর বমি করে।,patient statement
পিরিয়ড হলে আমার মেয়ে ব্যথায় মাঝে মাঝেই অজ্ঞ্যান হয়ে যায়,patient statement
এই খাবারটি বেশ ভালো 🍲,Normal statement
"আজকের মিউজিক শোটি আমার প্রত্যাশা অনুযায়ী ছিল না, খুব দুঃখিত!",Normal statement
আমার মা অতিরিক্ত চিন্তা করে আর ঠিকমত খাওয়া দাওয়া করছে না। অনেক দূর্বল হয়ে যাচ্ছে। ওর ওজন কমে যাচ্ছে।,patient statement
আজ স্কুলে আমাদের ক্লাসে একটি দারুণ স্পোর্টস ইভেন্ট ছিল!,Normal statement
পিরিয়ড হলে আমার মেয়ের অনেক পেট ব্যথা করে। সাথে বমিও করে। মাঝে মাঝে অজ্ঞ্যান হয়ে যায়,patient statement
নদীর উপরে সূর্যাস্তের দৃশ্য দেখে মনটা একেবারে ভালো হয়ে গেল!,Normal statement
আমার মায়ের চোখের মনির পাশে তৈলাক্ত হয়ে থাকে আর লালচে রেখার মত উঠে আর চোখ অনেক চুল্কায়,patient statement
আমার অনেক ব্রণ হয় মুখে। আর অনেক ব্যথা করে। ,patient statement
"তোমার এই বাজে আচরণ আর কথাবার্তা আমাকে সত্যিই ক্রুদ্ধ করে তুলেছে। আমি বুঝতে পারছি না, কেন তুমি এমন অপমানজনক কাজ করছ এবং কেন তুমি আমার অনুভূতিতে গুরুত্ব দিচ্ছ না। এইসব আমি আর মেনে নিতে পারছি না।",Normal statement
আমার মেয়ে ঠিকমত খাওয়া দাওয়া করে না। ওর ওজন কমে যাচ্ছে আর অনেক দুর্বল,patient statement
"নদীর তীরে বসে থাকার সময় পুরো পরিবেশ এত সুন্দর ছিল, আমি খুব ভালো অনুভব করলাম!",Normal statement
"বাজারে গিয়ে বেশ কিছু জিনিস সস্তা ছিল, কিন্তু বেশিরভাগ পণ্য নষ্ট হয়ে গেছে, এটা দেখে মনটা খারাপ লাগলো।",Normal statement
আমার নাকের মাংস বেড়েছে,patient statement
মনে হয় আমি একটা ভুল এই পৃথিবীতে আমার কোনো জায়গা নেই।,Normal statement
"আজ থেকে আমি আর কোনো কিছু সহ্য করব না, সবাই শুধু আমাকে ব্যবহার করছে। আমি এখন আর শান্ত থাকতে পারব না, এতটা অবজ্ঞা সহ্য করা যায় না।",Normal statement
"চিঠি পড়ে মনে হলো, কিছু শূন্যতা কখনও পূর্ণ হয় না!",Normal statement
"আজকের সকালে গ্রামের প্রকৃতি এত সুন্দর ছিল, খুব আনন্দিত অনুভব করলাম!",Normal statement
আজ আমি অনেক বিরক্ত বোধ করছি।,Normal statement
"আজ আমি নিজের পছন্দের একটি বই কিনলাম, অনেক দিন পর এমন কিছু পেলাম! তোমার আগের সারপ্রাইজ আমাকে সত্যিই মুগ্ধ করেছে! আজকের দিনটা স্মরণীয় হয়ে থাকবে!",Normal statement
আমার চোখ শুকিয়ে আসে আর আঠালো লাগে,patient statement
আমার মেয়ের স্তনের নিপল ফুলে লাল হয়ে আছে,patient statement
"গ্রামে কিছু লোক নিজেদের স্বার্থে অন্যদের ক্ষতি করছে, যা দেখে খুব রাগ লাগছে! তারা সমাজের শান্তি বিনষ্ট করছে এবং নিজেদের স্বার্থে অন্যদের দুর্ভোগে ফেলে দিচ্ছে, এটা একেবারেই অগ্রহণযোগ্য!",Normal statement
"নদীটির জল এত দূষিত, আমি ক্ষিপ্ত হয়ে গেছি!",Normal statement
আমার মাথায় গোটা বের হয়েছে আর এগুলো অনেক চুল্কায় বিচির মত বের হয়।,patient statement
স্কুলে আজ কিছু বিষয় নিয়ে খুব মন খারাপ লাগলো!,Normal statement
আজকের দিনটা আমার জন্য খুবই হতাশাজনক। সবকিছু যেন ভেঙে পড়েছে।,Normal statement
আমি খুবই রাগান্বিত।,Normal statement
এটা সত্যিই আমাকে বিরক্ত করেছে 😠,Normal statement
আমার খালা হঠাৎ করে হাত পা নাড়াতে পারছে না একদম অবশ হয়ে গেছে,patient statement
আজকের দিনটা আমার জন্য খুবই সফলতাপূর্ণ।,Normal statement
আমার সারা শরীরে বিচির মত গোটা উঠেছে আর এগুলো খুব চুল্কায়,patient statement
